Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
0,0.8430765271186829,0.8473128626610195,0.765876783368589,0.7898841596356192,535796800
1,0.7719966173171997,0.8331908812665904,0.7621110984437448,0.8153034579153242,512377600
2,0.7832934856414795,0.8327202824380401,0.7757622951639765,0.7814106754522704,778321600
3,0.7155086398124695,0.8058888701163703,0.7155086398124695,0.7992990587471099,767972800
4,0.7494014501571655,0.7606991158525374,0.7192750287870664,0.7268062193250892,460734400
5,0.7362210154533386,0.770113056813958,0.7136257849000408,0.768230246632849,505064000
6,0.6985626816749573,0.7484602028321549,0.6816166829221703,0.7225700621242277,441548800
7,0.6566675901412964,0.7192747923778648,0.6514890216026037,0.7155083184584698,976068800
8,0.7286888360977173,0.7437520689632314,0.6966796108115553,0.7116247375457067,1032684800
9,0.7564619183540344,0.7701130077783608,0.7484600133033278,0.7531670133167241,390376000
10,0.7828227877616882,0.7983575423961213,0.7564619378454258,0.7606990776314656,459177600
11,0.8025939464569092,0.8190692789805141,0.7785865679080657,0.7955326155987441,597643200
12,0.854844868183136,0.9150977083001769,0.854844868183136,0.8699080530727306,1831132800
13,0.838369607925415,0.8604933716556845,0.8298961818301253,0.8604933716556845,495924800
14,0.8002400994300842,0.84919530881243,0.7917666270070353,0.8167153740207906,440876800
15,0.8454301357269287,0.8520208523914301,0.7710554251516377,0.7908256645301583,497145600
16,0.8298959136009216,0.8600223785214387,0.8266010593284194,0.8284838188329,367158400
17,0.8284839987754822,0.8510792797476919,0.8058887680826057,0.8195398584604688,340144000
18,0.7654058933258057,0.835073626124517,0.7578747044862583,0.8148327296518743,423348800
19,0.7814106345176697,0.7823520647026235,0.7117429404958592,0.7606990698900252,701680000
20,0.7550498247146606,0.790825531172761,0.7531670648040584,0.7832934859436882,318035200
21,0.74422287940979,0.769171633864615,0.7305717396000515,0.7588162538664037,464195200
22,0.7781156301498413,0.7851769585317316,0.7550496397446146,0.7555203547466173,475193600
23,0.8134207129478455,0.828483896541653,0.7804692006520743,0.7828227256724105,425320000
24,0.8590811491012573,0.8604932944783634,0.7978868754973075,0.813420826600813,441067200
25,0.8652012348175049,0.8746151360235884,0.8378989503697724,0.8586105184982014,408643200
26,0.8482542037963867,0.8821471008832354,0.8468421589689936,0.8595518696782258,299364800
27,0.854844868183136,0.8576690582270244,0.8284839678106916,0.8501378177375468,302982400
28,0.8190692067146301,0.8595518639359843,0.8153035862689567,0.855786243490311,212251200
29,0.8722615838050842,0.8727322989356159,0.8181277851345758,0.8233055007324198,367539200
30,0.8962690830230713,0.9033304142984461,0.867554752224297,0.8680254674191822,485744000
31,0.859551727771759,0.8896789994139591,0.8444885444645939,0.8868540051975421,378246400
32,0.8652012348175049,0.8699081854205467,0.8520208077656785,0.8675547101190257,289497600
33,0.8378987312316895,0.8689665278131332,0.8350736867482073,0.8633181483432489,233441600
34,0.8571984767913818,0.8807351405107285,0.8035353380364979,0.8294255273456295,422296000
35,0.8755562901496887,0.896268756771911,0.8360150214685751,0.852843812610315,473099200
36,0.8676717281341553,0.8972102285189305,0.8416642945005687,0.8835590899672174,376432000
37,0.831308126449585,0.881205684986234,0.8294253666776735,0.8647303554177656,249144000
38,0.8529618382453918,0.8661422606721867,0.8162448107268765,0.8294252331536713,328328000
39,0.8633183240890503,0.8830885612861405,0.8477836181667124,0.8553155632761673,368961600
40,0.9814702868461609,0.9946507083771082,0.8925030448640822,0.8929737598389537,1077003200
41,0.918863832950592,0.9635828590328575,0.9089783162765576,0.9565223359494853,311259200
42,0.9640533924102783,0.9658190006862472,0.9038005770324848,0.9405167420249841,323366400
43,0.9466370344161987,0.9725271668382329,0.9414584649150668,0.9489905091259834,210560000
44,0.9254541993141174,0.9598178189725504,0.9122737706214179,0.9522857719301571,273011200
45,0.918863832950592,0.9334563985330846,0.8929737064125685,0.9254536410872554,271230400
46,0.9207468032836914,0.9414583639841702,0.8906203391668893,0.910390570419563,276718400
47,0.9471076726913452,0.9635829999107715,0.9113319236901655,0.9165104927714898,248606400
48,0.9136856198310852,0.9527561780005203,0.9000344803374095,0.9198055191957079,303956800
49,0.8604931235313416,0.9358100426477834,0.8586102634025856,0.91297940827946,428579200
50,0.8755562901496887,0.9056835600359421,0.8595516776733907,0.8708493410315817,443609600
51,0.9155682921409607,0.91886400128209,0.8623758844801921,0.8835590665490453,378100800
52,0.9414584040641785,0.9414584040641785,0.9009757053598082,0.9047422300150822,305043200
53,0.9263952374458313,0.9508732235422094,0.9216881876915574,0.9301616616067049,204489600
54,1.016304612159729,1.0299556482325305,0.9160397070649021,0.9231002306356755,524328000
55,1.0859724283218384,1.0873853779746891,0.9908852708747097,1.0000647676408112,567996800
56,1.0643196105957031,1.1325752163493314,1.0544340898856828,1.0694972760061383,562564800
57,1.044548749923706,1.0840900351366178,1.0205413686581153,1.0727923670549897,446913600
58,1.051139235496521,1.0902098006249084,1.0308974779550166,1.0365467638066068,279182400
59,1.0478441715240479,1.0694971662494759,1.032780081921499,1.0337215121026628,202966400
60,1.0238367319107056,1.0501975797798973,1.0079493695613806,1.0497269652778378,239836800
61,0.9471076726913452,1.0370170562993104,0.9447540976137034,1.005948457453414,414400000
62,1.0228954553604126,1.033721500083276,0.9489905724731907,0.9598175222239896,404633600
63,1.0040662288665771,1.0506688547687155,0.9748811756383029,1.020541566447639,328563200
64,0.9588761329650879,1.0017123136828836,0.879322866779668,0.9988881236103939,660329600
65,0.9819416999816895,1.0007704980553522,0.9339270682462112,0.9525204585786062,457665600
